nroTicket;nroComprobante;fechaEjecucion;fechaLiquidacion;tipoOperacion;instrumento;moneda;montoBruto;comision;ddmm;iva;otros;total
34715777;4416988;04-02-2025;04-02-2025;Recibo De Cobro;;ARS;500.0000;0.0000;0.0000;0.0000;0.0000;500.00
35511180;4899790;07-02-2025;07-02-2025;Orden De Pago;;ARS;-500.0000;0.0000;0.0000;0.0000;0.0000;-500.00
53004672;15517534;24-06-2025;24-06-2025;Recibo De Cobro;;ARS;80000.0000;0.0000;0.0000;0.0000;0.0000;80000.00
53088603;2378790;24-06-2025;24-06-2025;Liquidacion Suscripcion Fci;FCI ALAMERICA RENTA MIXTA CL.A ESC (COCORMA);ARS;-80000.0000;0.0000;0.0000;0.0000;0.0000;-80000.00
53237609;15627784;26-06-2025;26-06-2025;Recibo De Cobro;;ARS;40000.0000;0.0000;0.0000;0.0000;0.0000;40000.00
53510808;2442762;27-06-2025;27-06-2025;Liquidacion Rescate Fci;FCI ALAMERICA RENTA MIXTA CL.A ESC (COCORMA);ARS;80218.3774;0.0000;0.0000;0.0000;0.0000;80218.38
53673226;2474713;30-06-2025;30-06-2025;Liquidacion Suscripcion Fci;FCI ALAMERICA RENTA MIXTA CL.A ESC (COCORMA);ARS;-60000.0000;0.0000;0.0000;0.0000;0.0000;-60000.00
53579626;4676399;30-06-2025;01-07-2025;Compra;CENTRAL PUERTO S.A. ORD. 1 VOTO ESCRIT (CEPU);ARS;-28900.0000;-130.0500;-23.1200;-32.1657;0.0000;-29085.34
53587884;4684464;30-06-2025;01-07-2025;Compra;METROGAS S.A. ESCRIT.  B  1 VOTO (METR);ARS;-19750.0000;-88.8750;-15.8000;-21.9818;0.0000;-19876.66
53597973;4694364;30-06-2025;01-07-2025;Compra;BANCO HIPOTECARIO ESCRIT.  D  (CATEGORIAS 1 Y 2) 3 VOTOS (BHIP);ARS;-10927.5000;-49.1738;-8.7420;-12.1623;0.0000;-10997.58
55478812;5039998;15-07-2025;16-07-2025;Venta;METROGAS S.A. ESCRIT.  B  1 VOTO (METR);ARS;19800.0000;-89.1000;-15.8400;-22.0374;0.0000;19673.02
55476727;5037955;15-07-2025;16-07-2025;Venta;BANCO HIPOTECARIO ESCRIT.  D  (CATEGORIAS 1 Y 2) 3 VOTOS (BHIP);ARS;10571.0000;-47.5695;-8.4568;-11.7655;0.0000;10503.21
55492567;5053225;15-07-2025;16-07-2025;Compra;CEDEAR APPLE INC. (AAPL);ARS;-26800.0000;-120.6000;-21.4400;-29.8284;0.0000;-26971.87
57465751;3069664;29-07-2025;29-07-2025;Liquidacion Rescate Fci;FCI ALAMERICA RENTA MIXTA CL.A ESC (COCORMA);ARS;20000.0000;0.0000;0.0000;0.0000;0.0000;20000.00
57381676;5494857;29-07-2025;30-07-2025;Venta;CENTRAL PUERTO S.A. ORD. 1 VOTO ESCRIT (CEPU);ARS;23625.0000;-106.3125;-16.5375;-25.7985;0.0000;23476.35
57387914;5500939;29-07-2025;30-07-2025;Compra;CEDEAR INTERNATIONAL BUSINESS MACHINES CORPORATION (IBM);ARS;-46100.0000;-207.4500;-32.2700;-50.3412;0.0000;-46390.06
59523576;3399753;12-08-2025;12-08-2025;Liquidacion Rescate Fci;FCI ALAMERICA RENTA MIXTA CL.A ESC (COCORMA);ARS;20000.0000;0.0000;0.0000;0.0000;0.0000;20000.00
59445958;6038145;12-08-2025;13-08-2025;Venta;CEDEAR INTERNATIONAL BUSINESS MACHINES CORPORATION (IBM);ARS;41250.0000;-185.6250;-28.8750;-45.0450;0.0000;40990.46
59445159;6037375;12-08-2025;13-08-2025;Compra;CEDEAR SPDR S&P 500 (SPY);ARS;-42400.0000;-190.8000;-29.6800;-46.3008;0.0000;-42666.78
59462029;6053832;12-08-2025;13-08-2025;Compra;CEDEAR ISHARES MSCI BRAZIL CAP (EWZ);ARS;-18700.0000;-84.1500;-13.0900;-20.4204;0.0000;-18817.66
60486970;1243376;18-08-2025;18-08-2025;DIVIDENDOS EN ESPECIE;Dólar estadounidense;ARS;0.0000;0.0000;-0.0777;-0.0163;0.0000;-0.09
62203894;771472;29-08-2025;29-08-2025;Nota De Credito Conversion;;USD;0.0100;0.0000;0.0000;0.0000;0.0000;0.01
