instrumento;cantidad;precio;moneda;total;fecha
COCORMA;9521.16;8394.71;ARS;79927.38;2025-06-24
COCORMA;9521.16;8402.33;ARS;80000.0;2025-06-25
COCORMA;9521.16;8409.97;ARS;80072.67;2025-06-26
COCORMA;7103.3;8425.27;ARS;59847.23;2025-06-30
BANCO HIPOTECARIO ESCRIT.  D  (CATEGORIAS 1 Y 2) 3 VOTOS (BHIP);31.0;343.5;ARS;10648.5;2025-07-01
METROGAS S.A. ESCRIT.  B  1 VOTO (METR);10.0;1850.0;ARS;18500.0;2025-07-01
CEPU;20.0;1410.0;ARS;28200.0;2025-07-01
COCORMA;7103.3;8446.78;ARS;60000.0;2025-07-01
BANCO HIPOTECARIO ESCRIT.  D  (CATEGORIAS 1 Y 2) 3 VOTOS (BHIP);31.0;343.5;ARS;10648.5;2025-07-02
METROGAS S.A. ESCRIT.  B  1 VOTO (METR);10.0;1835.0;ARS;18350.0;2025-07-02
CEPU;20.0;1455.0;ARS;29100.0;2025-07-02
COCORMA;7103.3;8453.96;ARS;60051.04;2025-07-02
BANCO HIPOTECARIO ESCRIT.  D  (CATEGORIAS 1 Y 2) 3 VOTOS (BHIP);31.0;352.5;ARS;10927.5;2025-07-03
METROGAS S.A. ESCRIT.  B  1 VOTO (METR);10.0;1855.0;ARS;18550.0;2025-07-03
CEPU;20.0;1460.0;ARS;29200.0;2025-07-03
COCORMA;7103.3;8461.15;ARS;60102.08;2025-07-03
BANCO HIPOTECARIO ESCRIT.  D  (CATEGORIAS 1 Y 2) 3 VOTOS (BHIP);31.0;358.0;ARS;11098.0;2025-07-04
METROGAS S.A. ESCRIT.  B  1 VOTO (METR);10.0;1960.0;ARS;19600.0;2025-07-04
CEPU;20.0;1445.0;ARS;28900.0;2025-07-04
COCORMA;7103.3;8468.33;ARS;60153.08;2025-07-04
BANCO HIPOTECARIO ESCRIT.  D  (CATEGORIAS 1 Y 2) 3 VOTOS (BHIP);31.0;372.0;ARS;11532.0;2025-07-05
METROGAS S.A. ESCRIT.  B  1 VOTO (METR);10.0;1980.0;ARS;19800.0;2025-07-05
CEPU;20.0;1425.0;ARS;28500.0;2025-07-05
COCORMA;7103.3;8475.52;ARS;60204.17;2025-07-05
BANCO HIPOTECARIO ESCRIT.  D  (CATEGORIAS 1 Y 2) 3 VOTOS (BHIP);31.0;372.0;ARS;11532.0;2025-07-06
METROGAS S.A. ESCRIT.  B  1 VOTO (METR);10.0;1980.0;ARS;19800.0;2025-07-06
CEPU;20.0;1425.0;ARS;28500.0;2025-07-06
COCORMA;7103.3;8475.52;ARS;60204.17;2025-07-06
BANCO HIPOTECARIO ESCRIT.  D  (CATEGORIAS 1 Y 2) 3 VOTOS (BHIP);31.0;372.0;ARS;11532.0;2025-07-07
METROGAS S.A. ESCRIT.  B  1 VOTO (METR);10.0;1980.0;ARS;19800.0;2025-07-07
CEPU;20.0;1425.0;ARS;28500.0;2025-07-07
COCORMA;7103.3;8475.52;ARS;60204.17;2025-07-07
BANCO HIPOTECARIO ESCRIT.  D  (CATEGORIAS 1 Y 2) 3 VOTOS (BHIP);31.0;357.0;ARS;11067.0;2025-07-08
METROGAS S.A. ESCRIT.  B  1 VOTO (METR);10.0;1875.0;ARS;18750.0;2025-07-08
CEPU;20.0;1440.0;ARS;28800.0;2025-07-08
COCORMA;7103.3;8498.96;ARS;60370.68;2025-07-08
BANCO HIPOTECARIO ESCRIT.  D  (CATEGORIAS 1 Y 2) 3 VOTOS (BHIP);31.0;363.0;ARS;11253.0;2025-07-09
METROGAS S.A. ESCRIT.  B  1 VOTO (METR);10.0;2035.0;ARS;20350.0;2025-07-09
CEPU;20.0;1490.0;ARS;29800.0;2025-07-09
COCORMA;7103.3;8506.63;ARS;60425.18;2025-07-09
BANCO HIPOTECARIO ESCRIT.  D  (CATEGORIAS 1 Y 2) 3 VOTOS (BHIP);31.0;363.0;ARS;11253.0;2025-07-10
METROGAS S.A. ESCRIT.  B  1 VOTO (METR);10.0;2035.0;ARS;20350.0;2025-07-10
CEPU;20.0;1490.0;ARS;29800.0;2025-07-10
COCORMA;7103.3;8506.63;ARS;60425.18;2025-07-10
BANCO HIPOTECARIO ESCRIT.  D  (CATEGORIAS 1 Y 2) 3 VOTOS (BHIP);31.0;359.0;ARS;11129.0;2025-07-11
METROGAS S.A. ESCRIT.  B  1 VOTO (METR);10.0;1975.0;ARS;19750.0;2025-07-11
CEPU;20.0;1455.0;ARS;29100.0;2025-07-11
COCORMA;7103.3;8522.27;ARS;60536.28;2025-07-11
BANCO HIPOTECARIO ESCRIT.  D  (CATEGORIAS 1 Y 2) 3 VOTOS (BHIP);31.0;351.5;ARS;10896.5;2025-07-12
