fecha;AAPL;BANCO HIPOTECARIO ESCRIT.  D  (CATEGORIAS 1 Y 2) 3 VOTOS (BHIP);CEPU;COCORMA;EWZ;IBM;METROGAS S.A. ESCRIT.  B  1 VOTO (METR);SPY
2025-06-24;;;;9521.16;;;;
2025-06-25;;;;9521.16;;;;
2025-06-26;;;;9521.16;;;;
2025-06-30;;;;7103.3;;;;
2025-07-01;;31.0;20.0;7103.3;;;10.0;
2025-07-02;;31.0;20.0;7103.3;;;10.0;
2025-07-03;;31.0;20.0;7103.3;;;10.0;
2025-07-04;;31.0;20.0;7103.3;;;10.0;
2025-07-05;;31.0;20.0;7103.3;;;10.0;
2025-07-06;;31.0;20.0;7103.3;;;10.0;
2025-07-07;;31.0;20.0;7103.3;;;10.0;
2025-07-08;;31.0;20.0;7103.3;;;10.0;
2025-07-09;;31.0;20.0;7103.3;;;10.0;
2025-07-10;;31.0;20.0;7103.3;;;10.0;
2025-07-11;;31.0;20.0;7103.3;;;10.0;
2025-07-12;;31.0;20.0;7103.3;;;10.0;
2025-07-13;;31.0;20.0;7103.3;;;10.0;
2025-07-14;;31.0;20.0;7103.3;;;10.0;
2025-07-15;;31.0;20.0;7103.3;;;10.0;
2025-07-16;2.0;;20.0;7103.3;;;;
2025-07-17;2.0;;20.0;7103.3;;;;
2025-07-18;2.0;;20.0;7103.3;;;;
2025-07-19;2.0;;20.0;7103.3;;;;
2025-07-20;2.0;;20.0;7103.3;;;;
2025-07-21;2.0;;20.0;7103.3;;;;
2025-07-22;2.0;;20.0;7103.3;;;;
2025-07-23;2.0;;20.0;7103.3;;;;
2025-07-24;2.0;;20.0;7103.3;;;;
2025-07-25;2.0;;20.0;7103.3;;;;
2025-07-26;2.0;;20.0;7103.3;;;;
2025-07-27;2.0;;20.0;7103.3;;;;
2025-07-28;2.0;;20.0;7103.3;;;;
2025-07-29;2.0;;20.0;4794.21;;;;
2025-07-30;2.0;;5.0;4794.21;;2.0;;
2025-07-31;2.0;;5.0;4794.21;;2.0;;
2025-08-01;2.0;;5.0;4794.21;;2.0;;
2025-08-02;2.0;;5.0;4794.21;;2.0;;
2025-08-03;2.0;;5.0;4794.21;;2.0;;
2025-08-04;2.0;;5.0;4794.21;;2.0;;
2025-08-05;2.0;;5.0;4794.21;;2.0;;
2025-08-06;2.0;;5.0;4794.21;;2.0;;
2025-08-07;2.0;;5.0;4794.21;;2.0;;
2025-08-08;2.0;;5.0;4794.21;;2.0;;
2025-08-09;2.0;;5.0;4794.21;;2.0;;
2025-08-10;2.0;;5.0;4794.21;;2.0;;
2025-08-11;2.0;;5.0;4794.21;;2.0;;
2025-08-12;2.0;;5.0;2514.95;;2.0;;
2025-08-13;2.0;;5.0;2514.95;1.0;;;1.0
2025-08-14;2.0;;5.0;2514.95;1.0;;;1.0
2025-08-15;2.0;;5.0;2514.95;1.0;;;1.0
2025-08-16;2.0;;5.0;2514.95;1.0;;;1.0
2025-08-17;2.0;;5.0;2514.95;1.0;;;1.0
2025-08-18;2.0;;5.0;2514.95;1.0;;;1.0
2025-08-19;2.0;;5.0;2514.95;1.0;;;1.0
2025-08-20;2.0;;5.0;2514.95;1.0;;;1.0
2025-08-21;2.0;;5.0;2514.95;1.0;;;1.0
2025-08-22;2.0;;5.0;2514.95;1.0;;;1.0
2025-08-23;2.0;;5.0;2514.95;1.0;;;1.0
2025-08-24;2.0;;5.0;2514.95;1.0;;;1.0
2025-08-25;2.0;;5.0;2514.95;1.0;;;1.0
2025-08-26;2.0;;5.0;2514.95;1.0;;;1.0
2025-08-27;2.0;;5.0;2514.95;1.0;;;1.0
2025-08-28;2.0;;5.0;2514.95;1.0;;;1.0
2025-08-29;2.0;;5.0;2514.95;1.0;;;1.0
2025-08-30;2.0;;5.0;2514.95;1.0;;;1.0
2025-08-31;2.0;;5.0;2514.95;1.0;;;1.0
2025-09-01;2.0;;5.0;2514.95;1.0;;;1.0
2025-09-02;2.0;;5.0;2514.95;1.0;;;1.0
2025-09-03;2.0;;5.0;2514.95;1.0;;;1.0
2025-09-04;2.0;;5.0;2514.95;1.0;;;1.0
2025-09-05;2.0;;5.0;2514.95;1.0;;;1.0
2025-09-06;2.0;;5.0;2514.95;1.0;;;1.0
2025-09-07;2.0;;5.0;2514.95;1.0;;;1.0
