fecha;AAPL;BANCO HIPOTECARIO ESCRIT.  D  (CATEGORIAS 1 Y 2) 3 VOTOS (BHIP);CEPU;COCORMA;EWZ;IBM;METROGAS S.A. ESCRIT.  B  1 VOTO (METR);SPY
2025-06-24;;;;8394.71;;;;
2025-06-25;;;;8402.33;;;;
2025-06-26;;;;8409.97;;;;
2025-06-30;;;;8425.27;;;;
2025-07-01;;343.5;1410.0;8446.78;;;1850.0;
2025-07-02;;343.5;1455.0;8453.96;;;1835.0;
2025-07-03;;352.5;1460.0;8461.15;;;1855.0;
2025-07-04;;358.0;1445.0;8468.33;;;1960.0;
2025-07-05;;372.0;1425.0;8475.52;;;1980.0;
2025-07-06;;372.0;1425.0;8475.52;;;1980.0;
2025-07-07;;372.0;1425.0;8475.52;;;1980.0;
2025-07-08;;357.0;1440.0;8498.96;;;1875.0;
2025-07-09;;363.0;1490.0;8506.63;;;2035.0;
2025-07-10;;363.0;1490.0;8506.63;;;2035.0;
2025-07-11;;359.0;1455.0;8522.27;;;1975.0;
2025-07-12;;351.5;1395.0;8530.09;;;1910.0;
2025-07-13;;351.5;1395.0;8530.09;;;1910.0;
2025-07-14;;351.5;1395.0;8530.09;;;1910.0;
2025-07-15;;351.5;1440.0;8551.44;;;1935.0;
2025-07-16;13425.0;;1450.0;8558.46;;;;
2025-07-17;13425.0;;1435.0;8565.52;;;;
2025-07-18;13525.0;;1465.0;8572.6;;;;
2025-07-19;13675.0;;1475.0;8579.64;;;;
2025-07-20;13675.0;;1475.0;8579.64;;;;
2025-07-21;13675.0;;1475.0;8579.64;;;;
2025-07-22;13650.0;;1460.0;8600.8;;;;
2025-07-23;13550.0;;1445.0;8608.12;;;;
2025-07-24;13550.0;;1500.0;8615.67;;;;
2025-07-25;13650.0;;1520.0;8623.19;;;;
2025-07-26;13800.0;;1565.0;8631.12;;;;
2025-07-27;13800.0;;1565.0;8631.12;;;;
2025-07-28;13800.0;;1565.0;8631.12;;;;
2025-07-29;13875.0;;1585.0;8653.82;;;;
2025-07-30;13650.0;;1650.0;8661.4;;22575.0;;
2025-07-31;13750.0;;1635.0;8669.02;;22900.0;;
2025-08-01;14150.0;;1650.0;8676.62;;22975.0;;
2025-08-02;13850.0;;1650.0;8684.21;;22700.0;;
2025-08-03;13850.0;;1650.0;8684.21;;22700.0;;
2025-08-04;13850.0;;1650.0;8684.21;;22700.0;;
2025-08-05;13775.0;;1620.0;8707.08;;22850.0;;
2025-08-06;13650.0;;1645.0;8714.76;;22500.0;;
2025-08-07;13650.0;;1645.0;8723.12;;22500.0;;
2025-08-08;14650.0;;1720.0;8731.28;;22125.0;;
2025-08-09;15300.0;;1675.0;8739.35;;21550.0;;
2025-08-10;15300.0;;1675.0;8739.35;;21550.0;;
2025-08-11;15300.0;;1675.0;8739.35;;21550.0;;
2025-08-12;15050.0;;1695.0;8765.87;;20875.0;;
2025-08-13;15200.0;;1675.0;8774.8;18775.0;;;42625.0
2025-08-14;15400.0;;1630.0;8783.67;18600.0;;;42625.0
2025-08-15;15250.0;;1555.0;8793.33;18250.0;;;42275.0
2025-08-16;15250.0;;1555.0;8793.33;18250.0;;;42275.0
2025-08-17;15250.0;;1555.0;8793.33;18250.0;;;42275.0
2025-08-18;15250.0;;1555.0;8793.33;18250.0;;;42275.0
2025-08-19;15050.0;;1520.0;8831.89;18425.0;;;41925.0
2025-08-20;14975.0;;1435.0;8841.54;17850.0;;;41650.0
2025-08-21;14825.0;;1435.0;8851.19;18100.0;;;41825.0
2025-08-22;14850.0;;1465.0;8860.51;18275.0;;;41975.0
2025-08-23;15175.0;;1460.0;8870.08;19025.0;;;42975.0
2025-08-24;15175.0;;1460.0;8870.08;19025.0;;;42975.0
2025-08-25;15175.0;;1460.0;8870.08;19025.0;;;42975.0
2025-08-26;15500.0;;1395.0;8898.49;19550.0;;;43850.0
2025-08-27;15475.0;;1445.0;8908.48;19375.0;;;43725.0
2025-08-28;15625.0;;1400.0;8918.0;19675.0;;;43975.0
2025-08-29;15700.0;;1460.0;8927.6;19800.0;;;43725.0
2025-08-30;15700.0;;1445.0;8936.65;20000.0;;;43675.0
2025-08-31;15700.0;;1445.0;8936.65;20000.0;;;43675.0
2025-09-01;15700.0;;1445.0;8936.65;20000.0;;;43675.0
2025-09-02;15875.0;;1400.0;8963.82;20400.0;;;44950.0
2025-09-03;15700.0;;1410.0;8972.94;19900.0;;;43875.0
2025-09-04;16300.0;;1380.0;8982.04;19875.0;;;44100.0
2025-09-05;16500.0;;1415.0;8992.17;20150.0;;;44775.0
2025-09-06;16625.0;;1395.0;9002.34;20575.0;;;44900.0
2025-09-07;16625.0;;1395.0;9002.34;20575.0;;;44900.0
