fecha;valor_total
2025-06-24;79927.38
2025-06-25;80000.0
2025-06-26;80072.67
2025-06-30;59847.23
2025-07-01;117348.5
2025-07-02;118149.54000000001
2025-07-03;118779.58
2025-07-04;119751.08
2025-07-05;120036.17
2025-07-06;120036.17
2025-07-07;120036.17
2025-07-08;118987.68
2025-07-09;121828.18
2025-07-10;121828.18
2025-07-11;120515.28
2025-07-12;118488.3
2025-07-13;118488.3
2025-07-14;118488.3
2025-07-15;119789.97
2025-07-16;116643.31
2025-07-17;116393.43
2025-07-18;117243.73999999999
2025-07-19;117793.79000000001
2025-07-20;117793.79000000001
2025-07-21;117793.79000000001
2025-07-22;117594.06
2025-07-23;117146.06
2025-07-24;118299.67
2025-07-25;118953.09
2025-07-26;120209.41
2025-07-27;120209.41
2025-07-28;120209.41
2025-07-29;100938.2
2025-07-30;122224.55
2025-07-31;123036.05
2025-08-01;124097.51000000001
2025-08-02;122983.88
2025-08-03;122983.88
2025-08-04;122983.88
2025-08-05;123093.51000000001
2025-08-06;122305.35
2025-08-07;122345.42
2025-08-08;124009.55
2025-08-09;123973.25
2025-08-10;123973.25
2025-08-11;123973.25
2025-08-12;102370.74
2025-08-13;122243.18
2025-08-14;122265.51
2025-08-15;120914.8
2025-08-16;120914.8
2025-08-17;120914.8
2025-08-18;120914.8
2025-08-19;120261.76
2025-08-20;118861.05
2025-08-21;119010.31
2025-08-22;119558.76
2025-08-23;121957.81
2025-08-24;121957.81
2025-08-25;121957.81
2025-08-26;123754.27
2025-08-27;123679.4
2025-08-28;124328.33
2025-08-29;124677.48
2025-08-30;124775.24
2025-08-31;124775.24
2025-09-01;124775.24
2025-09-02;126643.56
2025-09-03;124791.5
2025-09-04;126064.38
2025-09-05;127614.87
2025-09-06;128340.43
2025-09-07;128340.43
